sequence_id,architecture_id,metric,old,corrected,delta,unit
heldout_h03_occlusion_distractor,target_reid_090,correct_target_output_duration_s,0.46706961200000013,0.4960256470000001,0.02895603499999999,s
heldout_h03_occlusion_distractor,target_reid_090,wrong_person_output_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,target_reid_090,identity_unresolved_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,target_reid_090,lost_or_suppressed_duration_s,45.632566065,45.603610030000006,-0.028956034999993108,s
heldout_h03_occlusion_distractor,target_reid_090,target_absent_duration_s,3.3000942820000034,3.3000942820000034,0.0,s
heldout_h03_occlusion_distractor,target_reid_090,target_absent_with_output_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,target_reid_090,reference_unavailable_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,target_reid_090,reference_gap_duration_s,0.0333238209999962,0.0333238209999962,0.0,s
heldout_h03_occlusion_distractor,target_reid_090,reference_gap_with_output_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,target_reid_090,iou_duration_weighted_mean,0.9001655959009389,0.9212141153262071,0.021048519425268197,fraction
heldout_h03_occlusion_distractor,target_reid_090,iou_median,0.9292691255017789,0.9384504496084172,0.0091813241066383,fraction
heldout_h03_occlusion_distractor,target_reid_090,centre_error_px_duration_weighted_mean,1.358469942468477,0.9335275397246893,-0.4249424027437877,px
heldout_h03_occlusion_distractor,target_reid_090,scored_duration_s,0.4670696120000001,0.4960256470000001,0.028956035000000047,s
heldout_h03_occlusion_distractor,target_reid_090,n_samples,24,25,1,count
heldout_h03_occlusion_distractor,bytetrack_tim_mars,correct_target_output_duration_s,20.932933131,20.866269431,-0.06666369999999944,s
heldout_h03_occlusion_distractor,bytetrack_tim_mars,wrong_person_output_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,bytetrack_tim_mars,identity_unresolved_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,bytetrack_tim_mars,lost_or_suppressed_duration_s,25.166702546000003,25.233366246000003,0.06666369999999944,s
heldout_h03_occlusion_distractor,bytetrack_tim_mars,target_absent_duration_s,3.3000942820000034,3.3000942820000034,0.0,s
heldout_h03_occlusion_distractor,bytetrack_tim_mars,target_absent_with_output_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,bytetrack_tim_mars,reference_unavailable_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,bytetrack_tim_mars,reference_gap_duration_s,0.0333238209999962,0.0333238209999962,0.0,s
heldout_h03_occlusion_distractor,bytetrack_tim_mars,reference_gap_with_output_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,bytetrack_tim_mars,iou_duration_weighted_mean,0.7946969427195854,0.8224972907470506,0.027800348027465227,fraction
heldout_h03_occlusion_distractor,bytetrack_tim_mars,iou_median,0.8128270614950848,0.8381698104622464,0.0253427489671616,fraction
heldout_h03_occlusion_distractor,bytetrack_tim_mars,centre_error_px_duration_weighted_mean,3.39063445859917,2.63015453483287,-0.7604799237663,px
heldout_h03_occlusion_distractor,bytetrack_tim_mars,scored_duration_s,20.932933131,20.866269431,-0.06666369999999944,s
heldout_h03_occlusion_distractor,bytetrack_tim_mars,n_samples,1029,1026,-3,count
heldout_h03_occlusion_distractor,deepsort_raw,correct_target_output_duration_s,45.18359141400006,45.199796817,0.01620540299993678,s
heldout_h03_occlusion_distractor,deepsort_raw,wrong_person_output_duration_s,0.06668654600000323,0.0,-0.06668654600000323,s
heldout_h03_occlusion_distractor,deepsort_raw,identity_unresolved_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,deepsort_raw,lost_or_suppressed_duration_s,0.8493577169999312,0.8998388600000015,0.05048114300007023,s
heldout_h03_occlusion_distractor,deepsort_raw,target_absent_duration_s,3.3000942820000034,3.3000942820000034,0.0,s
heldout_h03_occlusion_distractor,deepsort_raw,target_absent_with_output_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,deepsort_raw,reference_unavailable_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,deepsort_raw,reference_gap_duration_s,0.0333238209999962,0.0333238209999962,0.0,s
heldout_h03_occlusion_distractor,deepsort_raw,reference_gap_with_output_duration_s,0.0,0.0,0.0,s
heldout_h03_occlusion_distractor,deepsort_raw,iou_duration_weighted_mean,0.7880162365833585,0.8157752077936459,0.027758971210287364,fraction
heldout_h03_occlusion_distractor,deepsort_raw,iou_median,0.7978609100941709,0.8261860135752666,0.028325103481095626,fraction
heldout_h03_occlusion_distractor,deepsort_raw,centre_error_px_duration_weighted_mean,3.6063502305812203,2.7511512720609,-0.8551989585203201,px
heldout_h03_occlusion_distractor,deepsort_raw,scored_duration_s,45.18359141400007,45.199796817,0.016205402999929674,s
heldout_h03_occlusion_distractor,deepsort_raw,n_samples,2236,2236,0,count
