max_age_frames	sequence	metric_type	stream	field	baseline_age0	candidate	delta	safety_tolerance_s	gate
247	seq03_crossing	annotated_id	tim_target_memory	wrong_target_duration_s	0.95	0.95	0.0	0.05	PASS
247	seq03_crossing	annotated_id	tim_target_memory	lost_target_duration_s	15.379	15.379	0.0		N/A
247	seq03_crossing	annotated_id	tim_target_memory	correct_target_ratio	0.829	0.829	0.0		N/A
247	seq03_crossing	annotated_id	tim_target_memory	wrong_target_ratio	0.01	0.01	0.0		N/A
247	seq03_crossing	annotated_id	tim_target_memory	lost_target_ratio	0.161	0.161	0.0		N/A
247	seq03_crossing	spatial	raw_target	correct_target_duration_s	32.608	32.608	0.0		N/A
247	seq03_crossing	spatial	raw_target	wrong_target_duration_s	0.0	0.0	0.0		N/A
247	seq03_crossing	spatial	raw_target	lost_target_duration_s	57.218	57.218	0.0		N/A
247	seq03_crossing	spatial	raw_target	correct_target_ratio	0.341	0.341	0.0		N/A
247	seq03_crossing	spatial	raw_target	wrong_target_ratio	0.0	0.0	0.0		N/A
247	seq03_crossing	spatial	raw_target	lost_target_ratio	0.598	0.598	0.0		N/A
247	seq03_crossing	spatial	tim_target_memory	correct_target_duration_s	79.962	79.962	0.0		N/A
247	seq03_crossing	spatial	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
247	seq03_crossing	spatial	tim_target_memory	lost_target_duration_s	9.864	9.864	0.0		N/A
247	seq03_crossing	spatial	tim_target_memory	correct_target_ratio	0.835	0.835	0.0		N/A
247	seq03_crossing	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
247	seq03_crossing	spatial	tim_target_memory	lost_target_ratio	0.103	0.103	0.0		N/A
247	seq04_occlusion	annotated_id	raw_target	correct_target_duration_s	36.689	36.689	0.0		N/A
247	seq04_occlusion	annotated_id	raw_target	wrong_target_duration_s	0.45	0.45	0.0		N/A
247	seq04_occlusion	annotated_id	raw_target	lost_target_duration_s	19.683	19.683	0.0		N/A
247	seq04_occlusion	annotated_id	raw_target	correct_target_ratio	0.646	0.646	0.0		N/A
247	seq04_occlusion	annotated_id	raw_target	wrong_target_ratio	0.008	0.008	0.0		N/A
247	seq04_occlusion	annotated_id	raw_target	lost_target_ratio	0.346	0.346	0.0		N/A
247	seq04_occlusion	annotated_id	tim_target_memory	correct_target_duration_s	39.093	39.093	0.0		N/A
247	seq04_occlusion	annotated_id	tim_target_memory	wrong_target_duration_s	0.25	0.25	0.0	0.05	PASS
247	seq04_occlusion	annotated_id	tim_target_memory	lost_target_duration_s	17.479	17.479	0.0		N/A
247	seq04_occlusion	annotated_id	tim_target_memory	correct_target_ratio	0.688	0.688	0.0		N/A
247	seq04_occlusion	annotated_id	tim_target_memory	wrong_target_ratio	0.004	0.004	0.0		N/A
247	seq04_occlusion	annotated_id	tim_target_memory	lost_target_ratio	0.308	0.308	0.0		N/A
247	seq04_occlusion	spatial	raw_target	correct_target_duration_s	36.749	36.749	0.0		N/A
247	seq04_occlusion	spatial	raw_target	wrong_target_duration_s	0.31	0.31	0.0		N/A
247	seq04_occlusion	spatial	raw_target	lost_target_duration_s	15.38	15.38	0.0		N/A
247	seq04_occlusion	spatial	raw_target	correct_target_ratio	0.647	0.647	0.0		N/A
247	seq04_occlusion	spatial	raw_target	wrong_target_ratio	0.005	0.005	0.0		N/A
247	seq04_occlusion	spatial	raw_target	lost_target_ratio	0.271	0.271	0.0		N/A
247	seq04_occlusion	spatial	tim_target_memory	correct_target_duration_s	39.183	39.183	0.0		N/A
247	seq04_occlusion	spatial	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
247	seq04_occlusion	spatial	tim_target_memory	lost_target_duration_s	13.256	13.256	0.0		N/A
