model,tracker,status,json_path,health_score,detections_hz,timing_hz,tracker_hz,target_hz,e2e_det_p50_ms,e2e_det_p95_ms,e2e_det_p99_ms,infer_p50_ms,infer_p95_ms,infer_p99_ms,pre_p95_ms,container_queue_p95_ms,pub_dt_p95_ms,track_p50_ms,track_p95_ms,track_p99_ms,e2e_target_p95_ms,target_p95_ms,det_per_msg_mean,det_zero_ratio,notes
yolov11s,bytetrack,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov11s__bytetrack.json,92.20692879813058,15.484502519918584,15.484502519918584,14.718602395277449,14.585402373600731,30.592981338500977,39.28002853393555,44.840607452392604,25.25014877319336,31.18745765686034,37.15824279785157,4.802094268798827,1.1542263746261594,134.55149841308588,5.0869410037994385,9.657110166549682,12.334230651855467,0.0,,1.0,0.0,
yolov11s,deepsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov11s__deepsort.json,84.47779192243303,13.387566939807934,13.354264534485027,10.823281729944224,10.623467298006792,32.05752944946289,40.98858642578125,47.054073333740234,26.5239200592041,33.947086334228516,40.08087158203125,5.06282901763916,1.5088670253753662,188.65545654296875,62.05168914794922,85.02073974609375,101.75992614746089,153.5155899047851,,1.0,0.0,
yolov11m,sort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov11m__sort.json,92.23369532993861,13.763582178165569,13.73033681058546,14.461734897347881,14.195771956707,47.373077392578125,57.109800720214835,89.62402404785156,41.80618667602539,49.26502532958985,54.10589172363281,4.587302303314204,1.8560229778289745,134.36413269042967,4.751492977142334,8.801741981506343,11.317816505432095,0.0,,1.0,0.0,
yolov11m,ocsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov11m__ocsort.json,89.46446010044643,14.427372260998508,14.593970093111654,14.593970093111654,14.593970093111654,47.26118469238281,57.178054046630855,90.26666946411129,41.944175720214844,49.018774604797365,54.99754833221435,4.517277050018309,1.9703588485717767,153.748779296875,4.694371700286865,8.92005763053894,10.719558563232422,0.0,,1.0,0.0,
yolov11m,bytetrack,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov11m__bytetrack.json,92.00665174211777,14.799600696413162,14.799600696413162,14.266281752398273,13.999622280390827,47.49095344543457,57.601645660400386,88.98943359375,41.86917495727539,49.71221446990964,54.01450210571288,4.0432974815368645,1.832221657037734,135.95343780517564,5.0461626052856445,9.101860761642453,12.125301637649539,0.0,,1.0,0.0,
yolov11m,deepsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov11m__deepsort.json,84.94755717686245,12.216949589877668,12.183660898897074,11.085134096537502,10.85211325967335,49.52037239074707,62.10836982727051,99.67904167175297,42.84705352783203,53.07749366760254,59.04783763885499,4.972105622291565,2.758999764919281,185.3670997619629,58.99998474121094,83.8724609375,89.11096282958985,160.90121459960938,,1.0,0.0,
yolov11l,sort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov11l__sort.json,86.92895684923445,11.728479647074243,11.728479647074243,12.62810734727596,12.461509625016385,59.2432746887207,72.36671257019043,122.88262977600098,53.63610649108887,61.2283254623413,65.81040512084961,5.001010274887085,3.163420069217679,166.52720565795897,4.988790988922119,8.987433624267577,10.523034019470208,0.0,,1.0,0.0,
yolov11l,ocsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov11l__ocsort.json,89.15061200823104,11.89956764428258,11.932899766535472,12.799534945110675,12.566210089340428,58.63132286071777,70.36168518066405,117.75253463745118,53.05951690673828,60.741466712951656,64.62996227264405,5.187712693214416,3.270482289791106,155.18617706298824,5.085190057754517,9.210360717773433,12.51421732902527,0.0,,1.0,0.0,
yolov11l,bytetrack,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov11l__bytetrack.json,87.10828151157925,12.153433314107597,12.120136236534698,12.819374865565546,12.78607778799265,59.093122482299805,72.4059585571289,120.28110137939453,53.111886978149414,59.68754692077636,62.918362388610845,5.82775328159332,2.988101100921625,165.1895164489746,5.434944152832031,10.141513633728026,13.109866867065403,0.0,,1.0,0.0,
yolov11l,deepsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov11l__deepsort.json,80.69468417576383,10.650544196284091,10.617261245670704,10.25114878892344,9.951602233402948,60.42316436767578,75.56642837524414,118.70087890625,54.312007904052734,63.64941482543944,67.97699752807617,5.134227991104124,3.030246829986566,203.44771118164056,57.22967529296875,80.2057647705078,87.15974258422852,168.91410064697266,,1.0,0.0,
